number,k_number,sensitivity/recall,specificity,precision,f_measure,accuracy
6,15,0.4679565164212066(0.016229588920528077),0.9901413514672648(0.0025669546392212417),0.9057471264367816(0.024545007475934015),0.6169789557984985(0.018049963345105714),0.8314999999999999(0.004801041553663126)
6,20,0.46126300916205604(0.03068544540755879),0.9896396054206418(0.00390902739449717),0.9011494252873563(0.03749311823057491),0.6097014132705005(0.031688371955878855),0.8295(0.010171037311896962)
6,30,0.46635275451048736(0.019701304943247396),0.9874480870808011(0.0027364360432212856),0.8793103448275861(0.0268336035170776),0.6091419835310703(0.018746610669122782),0.8356999999999999(0.007912648102879345)
6,40,0.4761741653542346(0.022085447552805053),0.9920552456741378(0.0024387505883375106),0.9241379310344827(0.023103162347404334),0.6282975709365428(0.022656238652827534),0.8309(0.0064101482042149445)
6,50,0.46827595732164823(0.03068416102781387),0.9908417944949728(0.002029338287019537),0.9126436781609197(0.01937045924868129),0.6184210112506735(0.02811729758905394),0.8298(0.01046709128650363)
7,1,0.4946725015400954(0.01935781608412343),0.9878144968233364(0.003331454712772802),0.898989898989899(0.027846563135535813),0.6379566047710756(0.019633119199687396),0.8199(0.006876772498781656)
7,2,0.5367033820420972(0.018301138826736233),0.9878963990096615(0.002285258316859815),0.8979797979797979(0.019403406780099563),0.6716718880365845(0.017057154544931095),0.8341999999999998(0.005741080037762935)
7,3,0.5129050460239939(0.020765684458298163),0.9883690706165809(0.0023776542934591254),0.9030303030303031(0.0197938565073388),0.6540612203612488(0.02051341004527762),0.8254999999999999(0.005869412236331653)
7,4,0.5093759901876712(0.01930942597773617),0.9882416292301224(0.002892558700892268),0.902020202020202(0.02434741574382617),0.6508794115826291(0.019411272176369856),0.8244999999999999(0.006637017402418026)
7,5,0.5033294850310129(0.023431044227512226),0.9865492464935691(0.0038450090310959465),0.8878787878787879(0.03208561651367393),0.64231303574151(0.026018646846704255),0.8251999999999999(0.0055461698495448235)
7,10,0.5038458195941858(0.025622519943325196),0.9890417896732782(0.002654775289444785),0.909090909090909(0.02213020434364308),0.6480079980293106(0.02342240300099236),0.8210000000000001(0.00846167832052245)
7,15,0.5069594271057866(0.029012559768744617),0.9876355395207644(0.004287731289750461),0.8969696969696971(0.03579807100337243),0.6474455838577955(0.029595252672106494),0.8244999999999999(0.008176184929415437)
7,20,0.5081580600600504(0.03409615839077812),0.9883378504593482(0.0011093562182660085),0.903030303030303(0.009257728676678475),0.6496819893535913(0.028093465644497072),0.8233(0.011619380362136325)
7,30,0.527249398581098(0.019888877421083685),0.9901051777267276(0.0031773161727905006),0.9171717171717171(0.02702846092981748),0.6693180835460775(0.019097842939286746),0.8276(0.007045565981523421)
7,40,0.513488235874861(0.02513768626742246),0.9902748534112185(0.002354201364577489),0.919191919191919(0.019690493625876684),0.6585565863829641(0.02292032232212877),0.8223999999999998(0.008639444426582042)
7,50,0.5473232207941523(0.02710949759876748),0.988659622913778(0.003881971115308534),0.904040404040404(0.03327205877171837),0.6812901513203851(0.023899013939231363),0.8360999999999998(0.009554580053565942)
